Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion
2024-11-01T00:00+01:00,18606.86005,27845.06134,77.29
2024-11-01T00:15+01:00,18244.17649,28342.96273,67.7
2024-11-01T00:30+01:00,18016.70376,28271.47496,59.9
2024-11-01T00:45+01:00,17696.91384,28386.76327,51.9
2024-11-01T01:00+01:00,17220.25714,28011.97014,57.59
2024-11-01T01:15+01:00,16927.9138,27721.84283,59.7
2024-11-01T01:30+01:00,16460.00389,27751.11933,57.1
2024-11-01T01:45+01:00,16443.40013,27719.68273,50.52
2024-11-01T02:00+01:00,16023.27776,27859.65233,53.9
2024-11-01T02:15+01:00,15908.72951,28019.65047,50.1
2024-11-01T02:30+01:00,15518.77735,28063.59134,49.5
2024-11-01T02:45+01:00,15564.42275,28140.65557,46.11
2024-11-01T03:00+01:00,15981.64693,27290.67811,43.8
2024-11-01T03:15+01:00,15933.53838,27261.02181,43.5
2024-11-01T03:30+01:00,15551.2141,26844.56342,45.5
2024-11-01T03:45+01:00,15226.6712,26848.73124,46.9
2024-11-01T04:00+01:00,14935.80227,27095.63949,54.2
2024-11-01T04:15+01:00,14654.67318,27099.4032,44.3
2024-11-01T04:30+01:00,14500.121,27145.9507,53.36
2024-11-01T04:45+01:00,14432.48643,27211.62295,48.8
2024-11-01T05:00+01:00,14512.14231,27675.80809,44
2024-11-01T05:15+01:00,14643.63052,27635.78681,45.2
2024-11-01T05:30+01:00,15233.48259,27650.74278,52.8
2024-11-01T05:45+01:00,15342.005,27594.1186,75.36
2024-11-01T06:00+01:00,15709.45485,29002.28314,47
2024-11-01T06:15+01:00,16011.16739,29085.9196,62.36
2024-11-01T06:30+01:00,16134.61142,29385.14814,70.2
2024-11-01T06:45+01:00,16153.67427,29484.97082,79
2024-11-01T07:00+01:00,16291.49133,29459.94214,65.6
2024-11-01T07:15+01:00,16400.63708,29572.0056,66.96
2024-11-01T07:30+01:00,16349.91851,29652.3887,70.07
2024-11-01T07:45+01:00,16189.05752,30004.26994,72.57
2024-11-01T08:00+01:00,15624.61214,30642.37711,75.07
2024-11-01T08:15+01:00,15321.16061,31274.68204,65.05
2024-11-01T08:30+01:00,15394.94424,31907.4105,60.05
2024-11-01T08:45+01:00,15318.11816,32725.05495,55.05
2024-11-01T09:00+01:00,14361.1346,32774.07063,65
2024-11-01T09:15+01:00,14014.50594,33773.74932,55
2024-11-01T09:30+01:00,13715.89546,34827.37315,27.55
2024-11-01T09:45+01:00,13564.84563,35583.40813,29.23
2024-11-01T10:00+01:00,13280.70353,36293.88537,52.53
2024-11-01T10:15+01:00,13313.40783,36944.63918,30.39
2024-11-01T10:30+01:00,13414.37588,37297.40987,37.54
2024-11-01T10:45+01:00,13390.22274,37636.70792,15.09
2024-11-01T11:00+01:00,12959.44287,38079.86689,40.03
2024-11-01T11:15+01:00,12808.33634,38573.1589,37.53
2024-11-01T11:30+01:00,12821.8632,38897.8724,16.6
2024-11-01T11:45+01:00,12884.5498,39008.22827,12.6
2024-11-01T12:00+01:00,13196.72046,39028.33739,37.57
2024-11-01T12:15+01:00,13385.6485,39092.35718,35.06
2024-11-01T12:30+01:00,13326.92488,39166.27443,30.05
2024-11-01T12:45+01:00,13229.27045,38992.64202,6.13
2024-11-01T13:00+01:00,13238.73196,38521.70803,30
2024-11-01T13:15+01:00,13101.65995,38261.28682,25
2024-11-01T13:30+01:00,13036.3777,37946.79185,27.51
2024-11-01T13:45+01:00,12982.40043,37430.035,15.08
2024-11-01T14:00+01:00,12742.60036,37012.48353,2.55
2024-11-01T14:15+01:00,13142.71187,35808.06727,27.51
2024-11-01T14:30+01:00,13633.20368,34825.31759,40.01
2024-11-01T14:45+01:00,14294.98726,33903.50012,60
2024-11-01T15:00+01:00,15001.8716,32523.75554,25.09
2024-11-01T15:15+01:00,15546.33289,31546.85655,40.09
2024-11-01T15:30+01:00,16179.73571,30202.62442,70.04
2024-11-01T15:45+01:00,16698.60116,29454.62326,89.7
2024-11-01T16:00+01:00,17778.48403,28411.04921,45.05
2024-11-01T16:15+01:00,18000.68695,27694.54594,62.59
2024-11-01T16:30+01:00,18227.00925,26941.57944,88.94
2024-11-01T16:45+01:00,18646.98304,26391.8239,122.41
2024-11-01T17:00+01:00,19223.11429,26163.45957,85.01
2024-11-01T17:15+01:00,19523.68706,26030.53231,87.6
2024-11-01T17:30+01:00,19642.71023,26219.58147,92.57
2024-11-01T17:45+01:00,19727.77668,26183.73531,113.6
2024-11-01T18:00+01:00,19749.87045,26277.1492,113.9
2024-11-01T18:15+01:00,19817.54883,26249.81568,105.2
2024-11-01T18:30+01:00,19846.65397,25859.73835,105.29
2024-11-01T18:45+01:00,19664.52825,25348.67786,87.6
2024-11-01T19:00+01:00,19364.07256,25409.13507,123.13
2024-11-01T19:15+01:00,19355.53517,25256.16542,92.59
2024-11-01T19:30+01:00,19337.83197,25611.10309,90.09
2024-11-01T19:45+01:00,19215.87074,25975.06431,85.08
2024-11-01T20:00+01:00,19095.84781,26329.62158,121.5
2024-11-01T20:15+01:00,18988.11806,26379.61295,80.1
2024-11-01T20:30+01:00,18945.33753,26292.78687,89
2024-11-01T20:45+01:00,19090.05251,26602.91004,80.2
2024-11-01T21:00+01:00,18972.27643,26229.70918,114.91
2024-11-01T21:15+01:00,18568.80479,26443.48897,87.9
2024-11-01T21:30+01:00,18311.0326,26480.17611,81.31
2024-11-01T21:45+01:00,18221.12142,26233.69652,68.6
2024-11-01T22:00+01:00,18389.12863,26138.59281,104.91
2024-11-01T22:15+01:00,18411.51783,26021.25111,82.8
2024-11-01T22:30+01:00,18456.812,26247.27286,76.1
2024-11-01T22:45+01:00,18283.70029,25879.01164,56
2024-11-01T23:00+01:00,17826.23709,25287.30326,92
2024-11-01T23:15+01:00,17691.5094,24748.60424,80.91
2024-11-01T23:30+01:00,17697.19784,23858.38389,69.5
2024-11-01T23:45+01:00,17736.48912,23298.11388,61.8
2024-11-02T00:00+01:00,17017.0651,23011.37315,97.1
2024-11-02T00:15+01:00,17013.58322,22572.29972,87.6
2024-11-02T00:30+01:00,17055.55836,22109.46635,82.6
2024-11-02T00:45+01:00,17084.02129,21647.71266,78
