agent,training_steps,run_id,seed,total_reward,timestamp,experiment_id
TD3,10000,0,10,2.4840708430538534,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,10000,1,11,2.463907270750856,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,10000,2,12,0.5290285895431466,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,10000,3,13,6.010173634400474,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,10000,4,14,6.747739307937287,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,20000,0,10,7.133346052382768,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,20000,1,11,1.178511389373873,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,20000,2,12,0.0066332038749634,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,20000,3,13,15.23550844818512,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,20000,4,14,10.01781919206516,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,40000,0,10,1.51931442521425,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,40000,1,11,11.673667017557085,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,40000,2,12,0.709143330086669,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,40000,3,13,9.91024209003782,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,40000,4,14,3.80495571078948,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,60000,0,10,-0.1760955167184209,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,60000,1,11,13.406226005471067,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,60000,2,12,-0.7697123491597568,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,60000,3,13,6.942336086926101,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,60000,4,14,10.346045104465734,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,80000,0,10,5.427893843977561,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,80000,1,11,14.321606265556667,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,80000,2,12,2.388467889850141,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,80000,3,13,7.212353746257964,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,80000,4,14,3.778776024978856,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,100000,0,10,3.1331437420513666,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,100000,1,11,6.093804926323301,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,100000,2,12,2.3946232420407774,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,100000,3,13,7.491392630410907,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,100000,4,14,3.759775080788533,2026-01-11T12:13:43,td3_learning_steps_v1
TD3,120000,0,10,10.083031019270686,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,120000,1,11,3.788359053629166,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,120000,2,12,-4.206142218154109,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,120000,3,13,7.106104923633778,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,120000,4,14,1.03413323915692,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,140000,0,10,4.5764465357576265,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,140000,1,11,5.71214984208661,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,140000,2,12,0.8434505796606313,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,140000,3,13,11.01952459797677,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,140000,4,14,6.280399990794512,2026-01-11T21:32:19,td3_learning_steps_v1
TD3,160000,0,10,4.064011406454036,2026-01-12T11:11:32,td3_learning_steps_v1
TD3,160000,1,11,1.5638466465311829,2026-01-12T11:11:32,td3_learning_steps_v1
TD3,160000,2,12,2.1557268238193177,2026-01-12T11:11:32,td3_learning_steps_v1
TD3,160000,3,13,10.055561265630857,2026-01-12T11:11:32,td3_learning_steps_v1
TD3,160000,4,14,3.491612027815166,2026-01-12T11:11:32,td3_learning_steps_v1
QR-DQN,10000,0,10,0.7530146983386754,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,10000,1,11,0.7856826967507531,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,10000,2,12,0.7410626968651939,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,10000,3,13,-0.6081573413759556,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,10000,4,14,0.6189898522872606,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,20000,0,10,1.789803233937555,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,20000,1,11,4.260224122847849,2026-01-11T14:24:53,qrdqn_learning_steps_v1
QR-DQN,20000,2,12,1.0417500749363595,2026-01-11T14:24:53,qrdqn_learning_steps_v1
