Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.11.2024 00:00;01.11.2024 00:15;11.140,50;11.540,25;399,75;5.693,50
01.11.2024 00:15;01.11.2024 00:30;10.939,00;11.357,25;418,25;5.364,50
01.11.2024 00:30;01.11.2024 00:45;10.840,50;11.274,75;434,25;5.282,50
01.11.2024 00:45;01.11.2024 01:00;10.609,25;11.076,00;466,75;5.025,75
01.11.2024 01:00;01.11.2024 01:15;10.644,00;11.289,00;645,00;5.143,50
01.11.2024 01:15;01.11.2024 01:30;10.562,25;11.201,00;638,75;5.123,75
01.11.2024 01:30;01.11.2024 01:45;10.500,25;11.182,25;682,00;5.056,00
01.11.2024 01:45;01.11.2024 02:00;10.455,75;11.242,00;786,25;5.022,75
01.11.2024 02:00;01.11.2024 02:15;10.593,00;11.519,25;926,25;5.118,50
01.11.2024 02:15;01.11.2024 02:30;10.568,75;11.544,50;975,75;5.049,25
01.11.2024 02:30;01.11.2024 02:45;10.623,75;11.520,00;896,25;5.093,00
01.11.2024 02:45;01.11.2024 03:00;10.548,25;11.527,75;979,50;5.011,25
01.11.2024 03:00;01.11.2024 03:15;10.449,75;11.498,50;1.048,75;5.117,50
01.11.2024 03:15;01.11.2024 03:30;10.446,75;11.396,75;950,00;5.125,50
01.11.2024 03:30;01.11.2024 03:45;10.498,00;11.391,25;893,25;5.270,50
01.11.2024 03:45;01.11.2024 04:00;10.557,00;11.385,25;828,25;5.339,50
01.11.2024 04:00;01.11.2024 04:15;10.710,25;11.626,75;916,50;5.432,50
01.11.2024 04:15;01.11.2024 04:30;10.662,25;11.441,00;778,75;5.370,25
01.11.2024 04:30;01.11.2024 04:45;10.664,75;11.361,50;696,75;5.371,50
01.11.2024 04:45;01.11.2024 05:00;10.679,25;11.287,75;608,50;5.370,50
01.11.2024 05:00;01.11.2024 05:15;11.018,50;11.671,75;653,25;5.603,50
01.11.2024 05:15;01.11.2024 05:30;11.056,25;11.719,50;663,25;5.656,00
01.11.2024 05:30;01.11.2024 05:45;11.126,25;11.775,00;648,75;5.728,75
01.11.2024 05:45;01.11.2024 06:00;11.212,50;11.751,25;538,75;5.842,75
01.11.2024 06:00;01.11.2024 06:15;11.636,00;12.294,00;658,00;5.942,50
01.11.2024 06:15;01.11.2024 06:30;11.747,00;12.328,25;581,25;6.053,25
01.11.2024 06:30;01.11.2024 06:45;11.931,50;12.552,75;621,25;6.170,25
01.11.2024 06:45;01.11.2024 07:00;12.046,50;12.578,75;532,25;6.268,75
01.11.2024 07:00;01.11.2024 07:15;12.281,00;12.873,00;592,00;6.525,25
01.11.2024 07:15;01.11.2024 07:30;12.343,25;12.824,50;481,25;6.576,50
01.11.2024 07:30;01.11.2024 07:45;12.530,75;12.931,50;400,75;6.739,50
01.11.2024 07:45;01.11.2024 08:00;12.660,00;13.039,25;379,25;6.787,25
01.11.2024 08:00;01.11.2024 08:15;12.860,00;13.389,75;529,75;6.833,00
01.11.2024 08:15;01.11.2024 08:30;12.986,50;13.526,75;540,25;6.801,75
01.11.2024 08:30;01.11.2024 08:45;13.169,25;13.752,75;583,50;6.814,00
01.11.2024 08:45;01.11.2024 09:00;13.248,25;13.911,75;663,50;6.676,25
01.11.2024 09:00;01.11.2024 09:15;13.211,25;13.784,50;573,25;6.607,25
01.11.2024 09:15;01.11.2024 09:30;13.414,00;14.126,50;712,50;6.548,00
01.11.2024 09:30;01.11.2024 09:45;13.598,00;14.425,50;827,50;6.464,50
01.11.2024 09:45;01.11.2024 10:00;13.791,00;14.678,25;887,25;6.468,75
01.11.2024 10:00;01.11.2024 10:15;13.836,00;14.528,25;692,25;6.315,00
01.11.2024 10:15;01.11.2024 10:30;13.963,50;14.745,25;781,75;6.259,25
01.11.2024 10:30;01.11.2024 10:45;14.113,75;15.024,25;910,50;6.319,75
01.11.2024 10:45;01.11.2024 11:00;14.224,00;15.166,50;942,50;6.342,50
01.11.2024 11:00;01.11.2024 11:15;14.240,50;15.062,25;821,75;6.237,25
01.11.2024 11:15;01.11.2024 11:30;14.399,00;15.257,25;858,25;6.287,00
01.11.2024 11:30;01.11.2024 11:45;14.501,75;15.378,25;876,50;6.297,75
01.11.2024 11:45;01.11.2024 12:00;14.514,25;15.332,00;817,75;6.288,75
01.11.2024 12:00;01.11.2024 12:15;14.454,25;15.269,00;814,75;6.217,00
01.11.2024 12:15;01.11.2024 12:30;14.469,75;15.327,00;857,25;6.208,50
01.11.2024 12:30;01.11.2024 12:45;14.424,50;15.331,25;906,75;6.146,00
01.11.2024 12:45;01.11.2024 13:00;14.405,75;15.328,50;922,75;6.193,75
01.11.2024 13:00;01.11.2024 13:15;14.185,75;15.162,00;976,25;6.073,50
01.11.2024 13:15;01.11.2024 13:30;14.051,50;15.073,25;1.021,75;6.008,00
01.11.2024 13:30;01.11.2024 13:45;13.921,50;14.920,50;999,00;5.956,75
01.11.2024 13:45;01.11.2024 14:00;13.832,00;14.826,50;994,50;6.001,25
01.11.2024 14:00;01.11.2024 14:15;13.754,25;14.745,00;990,75;6.031,50
01.11.2024 14:15;01.11.2024 14:30;13.521,50;14.506,75;985,25;6.104,50
01.11.2024 14:30;01.11.2024 14:45;13.499,00;14.251,25;752,25;6.364,50
01.11.2024 14:45;01.11.2024 15:00;13.427,75;14.006,75;579,00;6.542,50
01.11.2024 15:00;01.11.2024 15:15;13.464,25;14.042,25;578,00;6.899,00
01.11.2024 15:15;01.11.2024 15:30;13.318,00;13.650,50;332,50;7.017,00
01.11.2024 15:30;01.11.2024 15:45;13.244,75;13.340,75;96,00;7.294,00
01.11.2024 15:45;01.11.2024 16:00;13.259,75;13.313,00;53,25;7.512,50
01.11.2024 16:00;01.11.2024 16:15;13.445,00;13.535,75;90,75;7.960,50
01.11.2024 16:15;01.11.2024 16:30;13.530,00;13.538,25;8,25;8.268,00
01.11.2024 16:30;01.11.2024 16:45;13.650,25;13.654,00;3,75;8.620,50
01.11.2024 16:45;01.11.2024 17:00;13.754,25;13.757,50;3,25;8.852,50
01.11.2024 17:00;01.11.2024 17:15;13.950,75;13.953,75;3,00;9.122,25
01.11.2024 17:15;01.11.2024 17:30;14.252,25;14.254,00;1,75;9.470,75
01.11.2024 17:30;01.11.2024 17:45;14.445,00;14.446,75;1,75;9.671,00
01.11.2024 17:45;01.11.2024 18:00;14.445,50;14.447,50;2,00;9.705,50
01.11.2024 18:00;01.11.2024 18:15;14.497,75;14.500,25;2,50;9.715,25
01.11.2024 18:15;01.11.2024 18:30;14.467,50;14.470,00;2,50;9.704,50
01.11.2024 18:30;01.11.2024 18:45;14.404,25;14.406,50;2,25;9.759,25
01.11.2024 18:45;01.11.2024 19:00;14.304,25;14.306,50;2,25;9.752,00
01.11.2024 19:00;01.11.2024 19:15;14.177,75;14.180,25;2,50;9.623,50
01.11.2024 19:15;01.11.2024 19:30;14.033,00;14.035,75;2,75;9.459,00
01.11.2024 19:30;01.11.2024 19:45;13.934,25;13.936,00;1,75;9.276,25
01.11.2024 19:45;01.11.2024 20:00;13.831,75;13.834,25;2,50;9.070,25
01.11.2024 20:00;01.11.2024 20:15;13.646,00;13.651,25;5,25;8.789,75
01.11.2024 20:15;01.11.2024 20:30;13.409,50;13.443,25;33,75;8.514,00
01.11.2024 20:30;01.11.2024 20:45;13.351,75;13.380,25;28,50;8.472,25
01.11.2024 20:45;01.11.2024 21:00;13.204,50;13.292,50;88,00;8.246,00
01.11.2024 21:00;01.11.2024 21:15;12.951,75;12.972,75;21,00;8.075,75
01.11.2024 21:15;01.11.2024 21:30;12.781,50;12.810,50;29,00;7.839,25
01.11.2024 21:30;01.11.2024 21:45;12.616,00;12.657,25;41,25;7.641,75
01.11.2024 21:45;01.11.2024 22:00;12.512,25;12.659,00;146,75;7.572,75
01.11.2024 22:00;01.11.2024 22:15;12.362,25;12.379,75;17,50;7.520,00
01.11.2024 22:15;01.11.2024 22:30;12.164,00;12.195,00;31,00;7.298,50
01.11.2024 22:30;01.11.2024 22:45;11.974,00;12.051,75;77,75;7.035,00
01.11.2024 22:45;01.11.2024 23:00;11.790,75;11.946,00;155,25;6.892,50
01.11.2024 23:00;01.11.2024 23:15;11.694,25;11.948,50;254,25;6.941,50
01.11.2024 23:15;01.11.2024 23:30;11.507,00;11.717,00;210,00;6.883,00
01.11.2024 23:30;01.11.2024 23:45;11.289,25;11.509,50;220,25;6.874,25
01.11.2024 23:45;02.11.2024 00:00;11.098,00;11.338,25;240,25;6.815,50
02.11.2024 00:00;02.11.2024 00:15;10.923,25;10.960,25;37,00;6.741,00
02.11.2024 00:15;02.11.2024 00:30;10.813,25;10.861,25;48,00;6.721,50
02.11.2024 00:30;02.11.2024 00:45;10.778,50;10.961,75;183,25;6.782,50
02.11.2024 00:45;02.11.2024 01:00;10.665,75;10.905,25;239,50;6.792,25
02.11.2024 01:00;02.11.2024 01:15;10.421,00;10.922,50;501,50;6.728,00
02.11.2024 01:15;02.11.2024 01:30;10.317,75;10.898,50;580,75;6.784,00
