Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
02.11.2024 01:30;02.11.2024 01:45;10.198,00;10.840,25;642,25;6.746,00
02.11.2024 01:45;02.11.2024 02:00;10.153,50;10.778,00;624,50;6.764,75
02.11.2024 02:00;02.11.2024 02:15;10.095,75;10.757,00;661,25;6.801,00
02.11.2024 02:15;02.11.2024 02:30;10.026,25;10.752,00;725,75;6.827,25
02.11.2024 02:30;02.11.2024 02:45;10.003,25;10.722,00;718,75;6.879,25
02.11.2024 02:45;02.11.2024 03:00;9.965,00;10.692,25;727,25;6.900,00
02.11.2024 03:00;02.11.2024 03:15;10.013,50;10.942,75;929,25;6.899,25
02.11.2024 03:15;02.11.2024 03:30;10.009,00;10.924,25;915,25;6.885,00
02.11.2024 03:30;02.11.2024 03:45;9.997,25;10.972,25;975,00;6.893,25
02.11.2024 03:45;02.11.2024 04:00;10.021,50;10.960,25;938,75;6.940,25
02.11.2024 04:00;02.11.2024 04:15;10.281,75;11.289,75;1.008,00;7.173,50
02.11.2024 04:15;02.11.2024 04:30;10.200,50;11.171,25;970,75;7.131,00
02.11.2024 04:30;02.11.2024 04:45;10.217,00;11.181,00;964,00;7.222,25
02.11.2024 04:45;02.11.2024 05:00;10.258,75;11.203,50;944,75;7.348,25
02.11.2024 05:00;02.11.2024 05:15;10.356,25;11.092,00;735,75;7.471,50
02.11.2024 05:15;02.11.2024 05:30;10.250,25;10.877,50;627,25;7.411,75
02.11.2024 05:30;02.11.2024 05:45;10.230,75;10.714,00;483,25;7.442,75
02.11.2024 05:45;02.11.2024 06:00;10.261,00;10.679,50;418,50;7.538,00
02.11.2024 06:00;02.11.2024 06:15;10.562,25;10.920,25;358,00;7.946,75
02.11.2024 06:15;02.11.2024 06:30;10.602,75;10.886,75;284,00;8.118,25
02.11.2024 06:30;02.11.2024 06:45;10.608,00;10.698,75;90,75;8.217,50
02.11.2024 06:45;02.11.2024 07:00;10.656,00;10.697,25;41,25;8.366,50
02.11.2024 07:00;02.11.2024 07:15;10.870,75;11.007,75;137,00;8.685,50
02.11.2024 07:15;02.11.2024 07:30;10.993,50;11.088,25;94,75;8.888,00
02.11.2024 07:30;02.11.2024 07:45;11.055,00;11.188,00;133,00;8.996,25
02.11.2024 07:45;02.11.2024 08:00;11.308,25;11.368,75;60,50;9.200,00
02.11.2024 08:00;02.11.2024 08:15;11.676,75;11.817,75;141,00;9.537,50
02.11.2024 08:15;02.11.2024 08:30;11.878,00;12.018,75;140,75;9.723,25
02.11.2024 08:30;02.11.2024 08:45;11.962,50;12.074,75;112,25;9.712,50
02.11.2024 08:45;02.11.2024 09:00;12.150,25;12.241,00;90,75;9.814,25
02.11.2024 09:00;02.11.2024 09:15;12.359,00;12.420,00;61,00;9.894,25
02.11.2024 09:15;02.11.2024 09:30;12.506,00;12.535,25;29,25;9.882,50
02.11.2024 09:30;02.11.2024 09:45;12.543,25;12.570,25;27,00;9.738,50
02.11.2024 09:45;02.11.2024 10:00;12.629,00;12.663,75;34,75;9.642,25
02.11.2024 10:00;02.11.2024 10:15;12.685,00;12.717,00;32,00;9.526,00
02.11.2024 10:15;02.11.2024 10:30;12.856,25;12.917,50;61,25;9.518,25
02.11.2024 10:30;02.11.2024 10:45;12.833,75;12.932,75;99,00;9.348,25
02.11.2024 10:45;02.11.2024 11:00;12.986,75;13.163,00;176,25;9.363,00
02.11.2024 11:00;02.11.2024 11:15;13.103,00;13.306,00;203,00;9.395,00
02.11.2024 11:15;02.11.2024 11:30;13.254,50;13.524,25;269,75;9.486,75
02.11.2024 11:30;02.11.2024 11:45;13.379,00;13.702,75;323,75;9.610,75
02.11.2024 11:45;02.11.2024 12:00;13.450,25;13.734,25;284,00;9.684,00
02.11.2024 12:00;02.11.2024 12:15;13.384,50;13.635,50;251,00;9.702,50
02.11.2024 12:15;02.11.2024 12:30;13.346,50;13.685,25;338,75;9.727,75
02.11.2024 12:30;02.11.2024 12:45;13.267,50;13.687,50;420,00;9.729,25
02.11.2024 12:45;02.11.2024 13:00;13.148,75;13.442,75;294,00;9.699,75
02.11.2024 13:00;02.11.2024 13:15;13.039,25;13.142,75;103,50;9.700,50
02.11.2024 13:15;02.11.2024 13:30;12.946,75;13.071,00;124,25;9.758,00
02.11.2024 13:30;02.11.2024 13:45;12.864,50;13.012,75;148,25;9.870,75
02.11.2024 13:45;02.11.2024 14:00;12.847,00;12.984,50;137,50;10.037,25
02.11.2024 14:00;02.11.2024 14:15;12.823,00;12.946,25;123,25;10.194,00
02.11.2024 14:15;02.11.2024 14:30;12.819,50;12.943,00;123,50;10.380,50
02.11.2024 14:30;02.11.2024 14:45;12.733,75;12.818,25;84,50;10.521,00
02.11.2024 14:45;02.11.2024 15:00;12.572,00;12.593,25;21,25;10.609,25
02.11.2024 15:00;02.11.2024 15:15;12.545,00;12.549,25;4,25;10.857,50
02.11.2024 15:15;02.11.2024 15:30;12.522,00;12.525,00;3,00;11.078,50
02.11.2024 15:30;02.11.2024 15:45;12.585,50;12.588,50;3,00;11.395,75
02.11.2024 15:45;02.11.2024 16:00;12.570,75;12.574,50;3,75;11.615,00
02.11.2024 16:00;02.11.2024 16:15;12.693,25;12.697,00;3,75;11.929,25
02.11.2024 16:15;02.11.2024 16:30;12.702,50;12.706,25;3,75;12.070,75
02.11.2024 16:30;02.11.2024 16:45;12.763,25;12.766,50;3,25;12.172,50
02.11.2024 16:45;02.11.2024 17:00;12.971,75;12.973,75;2,00;12.369,25
02.11.2024 17:00;02.11.2024 17:15;13.206,00;13.208,00;2,00;12.576,25
02.11.2024 17:15;02.11.2024 17:30;13.507,00;13.508,25;1,25;12.844,50
02.11.2024 17:30;02.11.2024 17:45;13.676,75;13.677,50;0,75;12.986,00
02.11.2024 17:45;02.11.2024 18:00;13.721,75;13.722,25;0,50;13.001,00
02.11.2024 18:00;02.11.2024 18:15;13.838,00;13.838,75;0,75;13.087,50
02.11.2024 18:15;02.11.2024 18:30;13.766,00;13.766,50;0,50;13.000,75
02.11.2024 18:30;02.11.2024 18:45;13.684,25;13.685,00;0,75;12.889,25
02.11.2024 18:45;02.11.2024 19:00;13.526,00;13.526,50;0,50;12.711,00
02.11.2024 19:00;02.11.2024 19:15;13.448,00;13.449,75;1,75;12.629,75
02.11.2024 19:15;02.11.2024 19:30;13.350,75;13.366,25;15,50;12.519,50
02.11.2024 19:30;02.11.2024 19:45;13.185,75;13.201,75;16,00;12.326,75
02.11.2024 19:45;02.11.2024 20:00;12.963,25;12.966,00;2,75;12.079,50
02.11.2024 20:00;02.11.2024 20:15;12.704,75;12.706,50;1,75;11.802,50
02.11.2024 20:15;02.11.2024 20:30;12.477,00;12.487,75;10,75;11.572,75
02.11.2024 20:30;02.11.2024 20:45;12.273,50;12.320,75;47,25;11.353,25
02.11.2024 20:45;02.11.2024 21:00;12.155,50;12.256,75;101,25;11.228,50
02.11.2024 21:00;02.11.2024 21:15;12.065,00;12.072,00;7,00;11.116,00
02.11.2024 21:15;02.11.2024 21:30;11.973,25;11.978,50;5,25;11.006,25
02.11.2024 21:30;02.11.2024 21:45;11.842,25;11.850,25;8,00;10.855,50
02.11.2024 21:45;02.11.2024 22:00;11.671,25;11.701,75;30,50;10.664,75
02.11.2024 22:00;02.11.2024 22:15;11.598,50;11.604,75;6,25;10.560,50
02.11.2024 22:15;02.11.2024 22:30;11.532,50;11.537,25;4,75;10.455,50
02.11.2024 22:30;02.11.2024 22:45;11.397,50;11.402,25;4,75;10.298,75
02.11.2024 22:45;02.11.2024 23:00;11.318,00;11.322,75;4,75;10.193,75
02.11.2024 23:00;02.11.2024 23:15;11.205,00;11.240,00;35,00;10.059,00
02.11.2024 23:15;02.11.2024 23:30;11.062,75;11.145,25;82,50;9.908,75
02.11.2024 23:30;02.11.2024 23:45;10.870,00;10.953,75;83,75;9.717,25
02.11.2024 23:45;03.11.2024 00:00;10.741,00;10.876,00;135,00;9.586,50
03.11.2024 00:00;03.11.2024 00:15;10.523,50;10.537,75;14,25;9.356,00
03.11.2024 00:15;03.11.2024 00:30;10.390,50;10.423,75;33,25;9.206,50
03.11.2024 00:30;03.11.2024 00:45;10.265,50;10.331,50;66,00;9.029,50
03.11.2024 00:45;03.11.2024 01:00;10.134,00;10.246,75;112,75;8.874,75
03.11.2024 01:00;03.11.2024 01:15;10.013,25;10.071,25;58,00;8.772,25
03.11.2024 01:15;03.11.2024 01:30;9.911,00;9.973,75;62,75;8.685,00
03.11.2024 01:30;03.11.2024 01:45;9.782,25;9.849,25;67,00;8.575,25
03.11.2024 01:45;03.11.2024 02:00;9.799,50;9.912,25;112,75;8.581,25
03.11.2024 02:00;03.11.2024 02:15;9.720,00;9.817,00;97,00;8.476,50
03.11.2024 02:15;03.11.2024 02:30;9.701,25;9.794,25;93,00;8.441,75
03.11.2024 02:30;03.11.2024 02:45;9.655,00;9.789,75;134,75;8.378,50
03.11.2024 02:45;03.11.2024 03:00;9.613,00;9.808,00;195,00;8.296,00
03.11.2024 03:00;03.11.2024 03:15;9.641,00;9.876,00;235,00;8.306,75
03.11.2024 03:15;03.11.2024 03:30;9.622,25;9.908,25;286,00;8.313,00
03.11.2024 03:30;03.11.2024 03:45;9.661,75;9.952,50;290,75;8.355,00
03.11.2024 03:45;03.11.2024 04:00;9.642,00;9.942,75;300,75;8.334,25
03.11.2024 04:00;03.11.2024 04:15;9.650,50;9.933,50;283,00;8.343,25
03.11.2024 04:15;03.11.2024 04:30;9.696,75;9.982,00;285,25;8.365,50
03.11.2024 04:30;03.11.2024 04:45;9.747,75;9.993,50;245,75;8.391,25
03.11.2024 04:45;03.11.2024 05:00;9.772,25;10.006,25;234,00;8.398,00
03.11.2024 05:00;03.11.2024 05:15;9.805,75;9.972,50;166,75;8.434,00
03.11.2024 05:15;03.11.2024 05:30;9.763,25;9.927,25;164,00;8.381,75
03.11.2024 05:30;03.11.2024 05:45;9.847,00;9.994,00;147,00;8.473,50
03.11.2024 05:45;03.11.2024 06:00;9.887,50;10.012,50;125,00;8.503,00
03.11.2024 06:00;03.11.2024 06:15;9.941,00;10.147,75;206,75;8.501,25
03.11.2024 06:15;03.11.2024 06:30;10.023,50;10.175,50;152,00;8.554,75
03.11.2024 06:30;03.11.2024 06:45;10.094,50;10.199,50;105,00;8.601,00
03.11.2024 06:45;03.11.2024 07:00;10.257,25;10.356,50;99,25;8.714,00
03.11.2024 07:00;03.11.2024 07:15;10.444,25;10.645,75;201,50;8.843,75
03.11.2024 07:15;03.11.2024 07:30;10.534,00;10.735,75;201,75;8.860,25
03.11.2024 07:30;03.11.2024 07:45;10.674,75;10.872,50;197,75;8.835,75
03.11.2024 07:45;03.11.2024 08:00;10.884,25;11.082,50;198,25;8.793,75
03.11.2024 08:00;03.11.2024 08:15;11.075,25;11.274,50;199,25;8.707,50
03.11.2024 08:15;03.11.2024 08:30;11.223,25;11.449,25;226,00;8.485,00
03.11.2024 08:30;03.11.2024 08:45;11.500,00;11.813,75;313,75;8.370,00
03.11.2024 08:45;03.11.2024 09:00;11.720,25;12.218,25;498,00;8.154,75
03.11.2024 09:00;03.11.2024 09:15;11.972,00;12.567,25;595,25;7.937,25
03.11.2024 09:15;03.11.2024 09:30;12.214,50;13.063,00;848,50;7.740,25
03.11.2024 09:30;03.11.2024 09:45;12.415,50;13.367,50;952,00;7.557,50
03.11.2024 09:45;03.11.2024 10:00;12.662,00;13.677,75;1.015,75;7.434,00
03.11.2024 10:00;03.11.2024 10:15;12.663,25;13.625,25;962,00;7.058,75
03.11.2024 10:15;03.11.2024 10:30;12.860,00;13.886,75;1.026,75;6.977,25
03.11.2024 10:30;03.11.2024 10:45;13.090,50;14.127,50;1.037,00;6.921,25
03.11.2024 10:45;03.11.2024 11:00;13.146,00;14.186,50;1.040,50;6.710,75
03.11.2024 11:00;03.11.2024 11:15;13.082,75;14.098,25;1.015,50;6.383,00
03.11.2024 11:15;03.11.2024 11:30;13.147,00;14.166,75;1.019,75;6.235,25
03.11.2024 11:30;03.11.2024 11:45;13.297,25;14.333,50;1.036,25;6.259,25
03.11.2024 11:45;03.11.2024 12:00;13.280,75;14.324,75;1.044,00;6.129,00
03.11.2024 12:00;03.11.2024 12:15;13.253,00;14.345,75;1.092,75;5.998,25
03.11.2024 12:15;03.11.2024 12:30;13.125,25;14.216,50;1.091,25;5.828,00
03.11.2024 12:30;03.11.2024 12:45;13.124,00;14.244,75;1.120,75;5.870,75
03.11.2024 12:45;03.11.2024 13:00;12.947,50;14.120,75;1.173,25;5.720,25
03.11.2024 13:00;03.11.2024 13:15;12.839,50;14.011,25;1.171,75;5.692,50
03.11.2024 13:15;03.11.2024 13:30;12.555,25;13.710,75;1.155,50;5.540,75
03.11.2024 13:30;03.11.2024 13:45;12.463,00;13.613,00;1.150,00;5.663,50
03.11.2024 13:45;03.11.2024 14:00;12.279,75;13.389,25;1.109,50;5.850,00
03.11.2024 14:00;03.11.2024 14:15;12.186,75;13.192,50;1.005,75;6.158,50
03.11.2024 14:15;03.11.2024 14:30;12.050,00;12.946,50;896,50;6.452,75
03.11.2024 14:30;03.11.2024 14:45;11.955,75;12.569,00;613,25;6.833,75
03.11.2024 14:45;03.11.2024 15:00;11.871,75;12.267,00;395,25;7.223,75
03.11.2024 15:00;03.11.2024 15:15;11.955,50;12.222,50;267,00;7.804,75
03.11.2024 15:15;03.11.2024 15:30;11.975,50;12.158,50;183,00;8.358,50
03.11.2024 15:30;03.11.2024 15:45;11.985,75;12.038,50;52,75;8.888,50
03.11.2024 15:45;03.11.2024 16:00;12.027,00;12.042,50;15,50;9.406,75
03.11.2024 16:00;03.11.2024 16:15;12.272,75;12.284,50;11,75;10.007,75
03.11.2024 16:15;03.11.2024 16:30;12.440,50;12.474,00;33,50;10.389,75
03.11.2024 16:30;03.11.2024 16:45;12.562,25;12.567,00;4,75;10.661,75
03.11.2024 16:45;03.11.2024 17:00;12.834,75;12.837,50;2,75;10.943,50
03.11.2024 17:00;03.11.2024 17:15;13.323,25;13.347,50;24,25;11.391,00
03.11.2024 17:15;03.11.2024 17:30;13.629,00;13.631,50;2,50;11.649,25
03.11.2024 17:30;03.11.2024 17:45;13.827,00;13.829,00;2,00;11.816,00
03.11.2024 17:45;03.11.2024 18:00;13.919,75;13.921,25;1,50;11.890,00
03.11.2024 18:00;03.11.2024 18:15;13.993,75;13.994,75;1,00;11.904,00
03.11.2024 18:15;03.11.2024 18:30;13.925,25;13.926,00;0,75;11.799,75
03.11.2024 18:30;03.11.2024 18:45;13.884,50;13.885,25;0,75;11.708,75
03.11.2024 18:45;03.11.2024 19:00;13.795,50;13.796,50;1,00;11.558,00
03.11.2024 19:00;03.11.2024 19:15;13.751,75;13.752,75;1,00;11.501,75
03.11.2024 19:15;03.11.2024 19:30;13.633,25;13.634,50;1,25;11.381,00
03.11.2024 19:30;03.11.2024 19:45;13.482,75;13.486,50;3,75;11.189,25
03.11.2024 19:45;03.11.2024 20:00;13.415,75;13.489,50;73,75;11.037,75
03.11.2024 20:00;03.11.2024 20:15;13.210,00;13.238,25;28,25;10.767,25
03.11.2024 20:15;03.11.2024 20:30;13.076,00;13.113,00;37,00;10.612,25
03.11.2024 20:30;03.11.2024 20:45;13.013,00;13.142,00;129,00;10.522,25
03.11.2024 20:45;03.11.2024 21:00;12.827,50;13.053,25;225,75;10.365,00
03.11.2024 21:00;03.11.2024 21:15;12.654,75;12.978,25;323,50;10.254,75
03.11.2024 21:15;03.11.2024 21:30;12.528,00;12.783,25;255,25;10.183,75
03.11.2024 21:30;03.11.2024 21:45;12.340,75;12.620,25;279,50;10.099,25
03.11.2024 21:45;03.11.2024 22:00;12.225,25;12.503,25;278,00;10.095,50
03.11.2024 22:00;03.11.2024 22:15;12.232,25;12.384,25;152,00;10.241,00
03.11.2024 22:15;03.11.2024 22:30;12.110,25;12.180,75;70,50;10.192,25
03.11.2024 22:30;03.11.2024 22:45;11.961,50;12.022,25;60,75;10.083,75
03.11.2024 22:45;03.11.2024 23:00;11.756,50;11.873,25;116,75;9.912,25
03.11.2024 23:00;03.11.2024 23:15;11.444,75;11.476,00;31,25;9.667,25
03.11.2024 23:15;03.11.2024 23:30;11.338,25;11.400,50;62,25;9.656,25
03.11.2024 23:30;03.11.2024 23:45;11.161,00;11.208,75;47,75;9.561,75
03.11.2024 23:45;04.11.2024 00:00;10.924,75;11.039,00;114,25;9.398,25
04.11.2024 00:00;04.11.2024 00:15;10.605,75;10.714,75;109,00;9.120,25
04.11.2024 00:15;04.11.2024 00:30;10.488,00;10.731,00;243,00;9.037,00
04.11.2024 00:30;04.11.2024 00:45;10.390,00;10.716,75;326,75;8.969,75
04.11.2024 00:45;04.11.2024 01:00;10.248,00;10.618,75;370,75;8.895,00
04.11.2024 01:00;04.11.2024 01:15;10.161,50;10.591,75;430,25;8.856,00
04.11.2024 01:15;04.11.2024 01:30;10.144,25;10.642,50;498,25;8.893,00
04.11.2024 01:30;04.11.2024 01:45;10.146,50;10.793,25;646,75;8.923,75
04.11.2024 01:45;04.11.2024 02:00;10.133,75;10.787,25;653,50;8.954,50
04.11.2024 02:00;04.11.2024 02:15;10.133,25;10.567,50;434,25;8.975,25
04.11.2024 02:15;04.11.2024 02:30;10.043,50;10.587,50;544,00;8.934,75
04.11.2024 02:30;04.11.2024 02:45;10.083,75;10.610,50;526,75;9.029,50
04.11.2024 02:45;04.11.2024 03:00;10.084,00;10.568,25;484,25;9.057,50
04.11.2024 03:00;04.11.2024 03:15;10.081,25;10.570,25;489,00;9.073,50
04.11.2024 03:15;04.11.2024 03:30;10.178,25;10.666,00;487,75;9.187,75
04.11.2024 03:30;04.11.2024 03:45;10.218,25;10.707,25;489,00;9.243,25
04.11.2024 03:45;04.11.2024 04:00;10.280,00;10.769,50;489,50;9.325,75
04.11.2024 04:00;04.11.2024 04:15;10.510,25;11.161,00;650,75;9.567,75
04.11.2024 04:15;04.11.2024 04:30;10.540,25;11.012,50;472,25;9.617,00
04.11.2024 04:30;04.11.2024 04:45;10.693,75;11.139,25;445,50;9.794,25
04.11.2024 04:45;04.11.2024 05:00;10.839,75;11.286,25;446,50;9.958,75
04.11.2024 05:00;04.11.2024 05:15;11.262,75;11.746,75;484,00;10.395,25
04.11.2024 05:15;04.11.2024 05:30;11.416,75;11.698,75;282,00;10.554,25
04.11.2024 05:30;04.11.2024 05:45;11.631,75;11.736,25;104,50;10.765,75
04.11.2024 05:45;04.11.2024 06:00;12.086,00;12.100,00;14,00;11.227,25
